coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
679479,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2953_1578607058_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2953_1578607058_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2953_1578607058_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2953_1578607058.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Amblydoras hancockii",,urn:uuid:f447f664-d6aa-4905-9e08-180b77fe7988,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679479,StillImage,Photograph,en
679480,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2954_1578666457_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2954_1578666457_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2954_1578666457_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2954_1578666457.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Satanoperca jurupari",,urn:uuid:32eecada-72ce-4a32-8b4a-ad0a76c65d31,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679480,StillImage,Photograph,en
679481,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2955_1578667185_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2955_1578667185_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2955_1578667185_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2955_1578667185.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Crenicichla sp.",,urn:uuid:4b35d0ce-9197-44a0-b13e-fd790b711d63,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679481,StillImage,Photograph,en
679482,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2956_D_1578667225_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2956_D_1578667225_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2956_D_1578667225_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2956_D_1578667225.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Dianema longibarbis",,urn:uuid:56b450fc-c8b2-4974-93ea-ff8e210865c5,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679482,StillImage,Photograph,en
679482,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2956_V_1578667250_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2956_V_1578667250_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2956_V_1578667250_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2956_V_1578667250.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Dianema longibarbis",,urn:uuid:1979e433-aa61-4856-8f01-095113371608,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679482,StillImage,Photograph,en
679483,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2957_1578667309_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2957_1578667309_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2957_1578667309_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2957_1578667309.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Corydoras aff. melanisti",,urn:uuid:0c452f79-c185-48bb-872a-1020acd27d22,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679483,StillImage,Photograph,en
679484,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2958_1578667443_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2958_1578667443_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2958_1578667443_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2958_1578667443.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Pimelodella sp.",,urn:uuid:e0ea69c7-f8ed-4554-928f-cf704645525f,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679484,StillImage,Photograph,en
679485,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2959_D_1578667501_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2959_D_1578667501_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2959_D_1578667501_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2959_D_1578667501.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Ochmacanthus reinhardtii",,urn:uuid:5d9aa3d4-0245-4a9b-a575-f04c23f6b8a0,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679485,StillImage,Photograph,en
679485,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2959_V_1578667528_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2959_V_1578667528_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2959_V_1578667528_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2959_V_1578667528.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Ochmacanthus reinhardtii",,urn:uuid:54d9faa1-9821-46e9-aa96-21c322510387,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679485,StillImage,Photograph,en
679487,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2960_1578667564_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2960_1578667564_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2960_1578667564_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2960_1578667564.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Hemigrammus ocellifer",,urn:uuid:7aacc9c6-5395-4760-b2aa-71b9ebf70ecb,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679487,StillImage,Photograph,en
