catalogNumber,id,bloque,regla,campos,valores,severidad,destino
1489,677806,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Guayas -1.557533 -79.758014,alta,INABIO
1814,678191,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha 0.133663 -76.652616,alta,INABIO
1815,678192,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha 0.133663 -76.652616,alta,INABIO
2534,678991,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
2535,678992,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
2536,678993,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
2537,678994,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
2538,678995,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Loreto -0.565725 -75.205312,alta,INABIO
3052,679590,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Carchi -0.455956 -75.353747,alta,INABIO
3094,679636,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,NA 0.214115 -76.274799,alta,INABIO
3095,679637,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,NA 0.214115 -76.274799,alta,INABIO
3096,679638,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pastaza 0.214115 -76.274799,alta,INABIO
3097,679639,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Tungurahua 0.214115 -76.274799,alta,INABIO
3098,679640,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Tungurahua 0.214115 -76.274799,alta,INABIO
3099,679641,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Tungurahua 0.214115 -76.274799,alta,INABIO
3116,679661,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Morona Santiago -1.436321 -78.165466,alta,INABIO
3431,680011,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,El Oro -3.872997 -80.037728,alta,INABIO
3514,680103,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo -0.363411 -75.685774,alta,INABIO
4922,1839995,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Guayas -2.17724 -79.13347,alta,INABIO
5,681169,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Sucumbíos -0.459992 -80.454897,alta,INABIO
5246,1840319,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Sucumbíos -0.997237 -76.09445,alta,INABIO
5259,1840332,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -2.091522 -79.39281,alta,INABIO
5260,1840333,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -2.091522 -79.39281,alta,INABIO
5264,1840337,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Bolívar -2.091522 -79.392815,alta,INABIO
5606,1840702,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.928275 -79.221299,alta,INABIO
5607,1840703,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -0.87127 -79.85844,alta,INABIO
5610,1840706,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha -0.928275 -79.221299,alta,INABIO
5613,1840709,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -0.42756 -76.12474,alta,INABIO
5614,1840710,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo -0.599774 -75.508604,alta,INABIO
5615,1840711,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -0.599774 -75.508604,alta,INABIO
5616,1840712,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -1.943606 -79.076243,alta,INABIO
5620,1840716,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Bolívar -0.928275 -79.221299,alta,INABIO
5625,1840721,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo 1.060249 -79.404332,alta,INABIO
5630,1840726,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo -2.452546 -78.174371,alta,INABIO
5636,1840732,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Cotopaxi -0.04499 -76.20131,alta,INABIO
5644,1840740,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Sucumbíos -0.6211 -75.8582,alta,INABIO
5647,1840743,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Napo -0.670262 -75.901753,alta,INABIO
5649,1840745,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha -0.87127 -79.85844,alta,INABIO
5653,1840749,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.6211 -75.8582,alta,INABIO
5654,1840750,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.670262 -75.901753,alta,INABIO
5657,1840753,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.04499 -76.20131,alta,INABIO
5658,1840754,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -2.091522 -79.392815,alta,INABIO
5659,1840755,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.599774 -75.508604,alta,INABIO
5660,1840756,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.04499 -76.20131,alta,INABIO
5663,1840759,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha -0.6211 -75.8582,alta,INABIO
5666,1840762,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha -0.599774 -75.508604,alta,INABIO
5667,1840763,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha -0.04499 -76.20131,alta,INABIO
5669,1840765,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Pichincha -0.010389 -76.142919,alta,INABIO
5675,1840771,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,El Oro -0.6211 -75.8582,alta,INABIO
5677,1840773,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Esmeraldas -0.670262 -75.901753,alta,INABIO
5680,1840776,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Manabí -0.597198 -75.901753,alta,INABIO
5682,1840778,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -0.42756 -76.12474,alta,INABIO
5685,1840781,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Orellana -2.452546 -78.174371,alta,INABIO
5686,1840782,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Bolívar -0.87127 -79.85844,alta,INABIO
6,681280,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Sucumbíos -0.459992 -80.454897,alta,INABIO
6042,1841138,coordenadas,coordenada compartida y provincia minoritaria,stateProvince|decimalLatitude|decimalLongitude,Morona Santiago -0.39672 -76.128285,alta,INABIO
3765,680404,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,"00°25'28,40'' 75°25'76,40''",alta,INABIO
4151,680834,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,00°14'29.3''N 077°34'073''W,alta,INABIO
4184,680870,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,00°57'075'' / 80°42'32.73'',alta,INABIO
4212,680902,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,3°55'64''S / 79°48'15''W,alta,INABIO
4213,680903,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,3°55'64''S / 79°48'15''W,alta,INABIO
5899,1840995,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,01°92´44´´S 77° 32´18´´W,alta,INABIO
5917,1841013,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,01°92´44´´S 77°32´18´´W,alta,INABIO
5923,1841019,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,01°92´44´´S 77°32´18´´W,alta,INABIO
5924,1841020,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,01°92´44´´S 77°32´18´´W,alta,INABIO
5965,1841061,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,01°92´44´´S 77°32´18´´W,alta,INABIO
5989,1841085,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,01°92´44´´S 77°32´18´´W,alta,INABIO
6027,1841123,coordenadas,coordenada derivada de un DMS fuera de rango,dms_rango_invalido,01°92´44´´S 77°32´18´´W,alta,INABIO
1489,677806,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Guayas | 10.71 km,alta,INABIO
1814,678191,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pichincha | 132.51 km,alta,INABIO
1815,678192,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pichincha | 132.51 km,alta,INABIO
3003,679536,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 75.01 km,alta,INABIO
3005,679538,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 82.56 km,alta,INABIO
3046,679583,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Morona Santiago | 279.45 km,alta,INABIO
3047,679584,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Morona Santiago | 279.45 km,alta,INABIO
3052,679590,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Carchi | 272.13 km,alta,INABIO
3059,679597,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 102.1 km,alta,INABIO
3060,679599,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 102.1 km,alta,INABIO
3061,679600,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 102.1 km,alta,INABIO
3096,679638,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 143.63 km,alta,INABIO
3097,679639,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Tungurahua | 257.44 km,alta,INABIO
3098,679640,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Tungurahua | 257.44 km,alta,INABIO
3099,679641,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Tungurahua | 257.44 km,alta,INABIO
3106,679650,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 5.05 km,alta,INABIO
3287,679850,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 187.65 km,alta,INABIO
3288,679851,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 190.92 km,alta,INABIO
3294,679858,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Morona Santiago | 183.7 km,alta,INABIO
3295,679859,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Morona Santiago | 184.42 km,alta,INABIO
3350,679921,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Santo Domingo de los Tsáchilas | 11.65 km,alta,INABIO
3511,680100,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 416.13 km,alta,INABIO
3514,680103,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Napo | 161.07 km,alta,INABIO
3515,680104,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Imbabura | 173.8 km,alta,INABIO
3527,680140,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 243.71 km,alta,INABIO
3589,680208,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 32.17 km,alta,INABIO
3590,680210,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 32.17 km,alta,INABIO
3591,680211,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 32.17 km,alta,INABIO
3765,680404,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 100.03 km,alta,INABIO
3867,680517,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 188.31 km,alta,INABIO
3875,680526,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 294.97 km,alta,INABIO
3876,680527,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 294.97 km,alta,INABIO
3877,680528,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 294.97 km,alta,INABIO
3878,680529,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 294.97 km,alta,INABIO
3879,680530,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 294.97 km,alta,INABIO
3926,680583,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 36.64 km,alta,INABIO
3927,680584,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 36.64 km,alta,INABIO
4022,680691,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 412.44 km,alta,INABIO
4023,680692,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 412.44 km,alta,INABIO
4024,680693,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 412.44 km,alta,INABIO
4025,680694,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 412.44 km,alta,INABIO
4195,680882,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Manabí | 1090.51 km,alta,INABIO
4212,680902,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 9.92 km,alta,INABIO
4213,680903,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 9.92 km,alta,INABIO
4237,680929,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 6.52 km,alta,INABIO
4238,680930,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,El Oro | 6.52 km,alta,INABIO
4247,680940,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pastaza | 197.78 km,alta,INABIO
4274,680970,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Morona Santiago | 59.9 km,alta,INABIO
4289,680986,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Manabí | 102.19 km,alta,INABIO
5,681169,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 282.53 km,alta,INABIO
5094,1840167,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 64.91 km,alta,INABIO
5122,1840195,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5123,1840196,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5124,1840197,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5125,1840198,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5126,1840199,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5127,1840200,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5128,1840201,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5129,1840202,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5146,1840219,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 99.44 km,alta,INABIO
5157,1840230,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5158,1840231,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5160,1840233,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pichincha | 5.86 km,alta,INABIO
5162,1840235,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5165,1840238,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5171,1840244,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 50.08 km,alta,INABIO
5185,1840258,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5192,1840265,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5200,1840273,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5211,1840284,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5215,1840288,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5222,1840295,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5225,1840298,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5231,1840304,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5232,1840305,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5240,1840313,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Pichincha | 13.15 km,alta,INABIO
5241,1840314,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5245,1840318,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5246,1840319,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 50.27 km,alta,INABIO
5251,1840324,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5252,1840325,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5259,1840332,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 238.39 km,alta,INABIO
5260,1840333,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Orellana | 238.39 km,alta,INABIO
5261,1840334,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5262,1840335,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5263,1840336,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 96.81 km,alta,INABIO
5264,1840337,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Bolívar | 18.01 km,alta,INABIO
5295,1840368,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5296,1840369,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5299,1840372,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5308,1840381,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Sucumbíos | 286.23 km,alta,INABIO
5310,1840383,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5314,1840387,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5315,1840388,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5316,1840389,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5317,1840390,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5318,1840391,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5320,1840393,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5321,1840394,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5322,1840395,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5329,1840402,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5330,1840403,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Santo Domingo de los Tsáchilas | 46.45 km,alta,INABIO
5332,1840405,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5337,1840410,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5340,1840413,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5342,1840415,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5343,1840416,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5344,1840417,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5349,1840422,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5351,1840424,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5352,1840425,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5353,1840426,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5354,1840427,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5355,1840428,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5357,1840430,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5358,1840431,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5359,1840432,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5361,1840434,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5362,1840435,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5363,1840436,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
5367,1840440,coordenadas,coordenada fuera de la provincia declarada,coherencia_provincia | dist_fuera_provincia_km,Esmeraldas | 97.76 km,alta,INABIO
