id,catalogNumber,stateProvince,county,locality,verbatimCoordinates,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,metodo_correccion,confianza_coordenada,coherencia_provincia,criterio_coherencia,dist_fuera_provincia_km,dist_centroide_km,coordenada_compartida,provincia_minoritaria,signo_ambiguo,dms_rango_invalido
1840774,5678,Manabí,Manta,,,0.62119,75.82578,0.62119,-75.82578,neg_lon_ambiguo,inferida,discordante,poligono_gadm,408.56,545.6,FALSE,FALSE,TRUE,FALSE
1840776,5680,Manabí,,,,-0.597198,-75.901753,-0.597198,-75.901753,original,leida,discordante,poligono_gadm,390.72,512.4,TRUE,TRUE,FALSE,FALSE
1840778,5682,Orellana,,Parque Nacional Yasuní,,-0.42756,-76.12474,-0.42756,-76.12474,original,leida,coherente,poligono_gadm,2.29,48,TRUE,TRUE,FALSE,FALSE
1840779,5683,Orellana,,Parque Nacional Yasuní,,-0.75639,-79.46876,-0.75639,-79.46876,original,leida,discordante,poligono_gadm,205.94,397.1,TRUE,FALSE,FALSE,FALSE
1840780,5684,Orellana,,,302930/9440090,,,-5.063108,-76.777627,utm_zona_32718,convertida,discordante,poligono_gadm,412.44,484.8,FALSE,FALSE,FALSE,FALSE
1840781,5685,Orellana,,Parque Nacional Yasuní,,-2.452546,-78.174371,-2.452546,-78.174371,original,leida,discordante,poligono_gadm,180.91,312.8,TRUE,TRUE,FALSE,FALSE
1840782,5686,Bolívar,,San Pablo de Amalí,,-0.87127,-79.85844,-0.87127,-79.85844,original,leida,discordante,poligono_gadm,70.37,147.7,TRUE,TRUE,FALSE,FALSE
1840785,5689,Esmeraldas,Tonchigüe,,,-0.8283,-79.94985,-0.8283,-79.94985,original,leida,discordante,poligono_gadm,96.81,172.8,FALSE,FALSE,FALSE,FALSE
1840787,5691,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840804,5708,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840808,5712,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840812,5716,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840818,5722,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840820,5724,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840821,5725,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840827,5731,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840833,5737,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840834,5738,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840835,5739,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840838,5742,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840844,5748,Manabí,Salango,,,-1.59321,-80.0444,-1.59321,-80.0444,original,leida,discordante,poligono_gadm,15.98,95.8,FALSE,FALSE,FALSE,FALSE
1840855,5759,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840861,5765,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840878,5782,Esmeraldas,Súa,,,-0.86716,-79.8736,-0.86716,-79.8736,original,leida,discordante,poligono_gadm,97.83,175.9,FALSE,FALSE,FALSE,FALSE
1840881,5785,Napo,Coca,,,-0.457517,-76.980579,-0.457517,-76.980579,original,leida,discordante,poligono_gadm,30.64,106.3,FALSE,FALSE,FALSE,FALSE
1840893,5797,Esmeraldas,Tonchigüe,,,-0.87127,-79.85844,-0.87127,-79.85844,original,leida,discordante,poligono_gadm,97.76,176.1,TRUE,FALSE,FALSE,FALSE
1840912,5816,Napo,Indiyalla,,,-0.440479,-76.53419,-0.440479,-76.53419,original,leida,discordante,poligono_gadm,70.59,150.9,FALSE,FALSE,FALSE,FALSE
